scenario_id,pod_id,latency_ms,queue_depth,cpu_utilization,request_rate,is_optimal
0,0,64.85007000732429,14,12.442591636680843,2.7635388850524407,1
0,1,70.98312361589305,21,12.726540271242671,18.345190752540553,0
0,2,125.92298881296166,28,44.36314531704014,20.439772620312656,0
1,0,106.71474965161617,23,38.79654939637708,20.626369783974333,1
1,1,121.16576045460468,29,72.69196594824882,27.014000801775563,0
1,2,137.6945118032572,38,64.80196855187725,28.404817379825083,0
2,0,162.23327007493202,45,62.39713940610278,43.523789085019224,0
2,1,147.57923480753135,42,50.930097566313535,34.2170107484923,1
2,2,176.7835081692341,49,59.55492535563398,37.34401040231273,0
3,0,119.63378020817126,26,18.25729085986511,25.737695665020404,0
3,1,134.92931496256526,29,42.92777197309053,28.454686082751234,0
3,2,116.20423374763091,25,20.01211943727719,25.051537706111773,1
4,0,142.65164011664137,39,52.83497466434187,32.08335466753607,0
4,1,38.39932062164485,18,26.041694295780857,10.613332073563985,0
4,2,18.332261641093346,11,9.667909891467804,1.8930975260514527,1
5,0,186.58960069864216,53,73.22732827361595,54.796613949599404,0
5,1,104.82567029808277,26,36.31340682455937,27.173500931827753,1
5,2,124.40527411295474,34,43.05788893775952,27.01266150503837,0
6,0,167.75003443717944,40,71.65975974360987,39.55339742294373,0
6,1,18.98435587906162,8,12.106507264880314,0,1
6,2,27.119840442744653,19,10.190691366143671,8.822338327056183,0
7,0,48.098769323136636,14,6.583255226284461,13.447347022757562,0
7,1,6.134863641258466,11,8.274904884072377,0,1
7,2,78.30483369997849,24,17.098222709924684,11.849190023812813,0
8,0,162.35075817652574,42,68.79617793303956,44.54110871145535,0
8,1,97.39578692107848,27,46.72247615162851,15.739006650562978,0
8,2,31.390768979472043,16,0.3395954003002899,8.509871404372705,1
9,0,174.42029835562184,51,48.65633498721617,46.004425724430575,0
9,1,60.69155600775276,18,22.172042029699682,21.366311124047712,1
9,2,150.84112300566426,45,52.426973724164334,34.2916106090009,0
10,0,192.57892883907766,44,59.839762187626874,49.560176031971785,0
10,1,33.2115671761436,11,0.3066013697556311,13.430770669805153,1
10,2,50.622618477476216,15,19.864523571746595,15.171275788693507,0
11,0,147.24603271550544,43,53.25260824110277,32.582920095813165,0
11,1,36.214822413642146,19,19.555539554594038,17.293414110263186,1
11,2,60.865541421286906,12,20.573898006805017,11.27476474287085,0
12,0,132.7160017481988,38,49.22391004649233,34.25217232695685,0
12,1,72.99331587300475,22,13.623915803296452,23.297920520314612,0
12,2,44.58162298655576,13,19.122251064424475,10.344860041669058,1
13,0,128.25236026781192,29,36.65875643222012,19.745898587892988,1
13,1,120.34197783535073,38,35.06440328720632,35.13804557900595,0
13,2,135.5597944401535,33,43.21333398855877,26.43535480973346,0
14,0,87.30231240113807,25,25.0142770180774,17.25221023710666,0
14,1,81.4681936315192,19,13.662993489896152,25.025277008410455,1
14,2,113.5105792460125,22,27.827554902606927,22.94156948315509,0
15,0,72.81730523371765,22,31.10425276662847,18.29972767155648,1
15,1,106.7732229523343,28,32.99201944741302,27.816029489704118,0
15,2,106.12097990485361,24,49.72142118416848,20.308614813575307,0
16,0,77.05635854736217,20,14.231914702023216,9.713590253988567,1
16,1,79.13443759796358,21,16.82501210407907,19.109881654633803,0
16,2,117.03326111073459,30,39.908258728825324,34.336160136743366,0
17,0,5,9,6.187267436865214,0,1
17,1,182.14831918489003,43,79.84124842679202,40.49052569555566,0
17,2,206.26370359772136,57,79.65407807890278,57.034721915803566,0
18,0,62.958561643705075,21,24.500533984972506,5.7460775083412585,1
18,1,92.93709457078515,30,29.09344706330004,17.389092774213985,0
18,2,147.30626833379768,33,59.059623875572235,33.51316068315002,0
19,0,51.24795982551278,16,13.632154998425788,8.618337716131546,1
19,1,82.96514704633039,21,25.614355043018385,24.199960422048537,0
19,2,68.15273860846372,22,22.862127291381118,23.16281656058826,0
20,0,191.23265631674093,51,46.89290265985424,46.548720860667686,0
20,1,64.32443948971509,10,6.4360229458376015,9.277577205578122,1
20,2,62.18672545380352,20,37.715015617565456,8.630151133860705,0
21,0,77.67717910760257,17,20.177691209136455,26.36693002760097,1
21,1,108.21910780711387,26,24.53378508782069,27.323837194009876,0
21,2,215.41237752243984,52,79.52253682810085,54.25530053494595,0
22,0,142.29056217059664,34,59.974945168038005,32.11578734481825,0
22,1,123.28827864795441,34,35.82009011553744,31.462898316733483,1
22,2,157.05982065284803,43,47.02956388251786,40.2539796026668,0
23,0,159.51061132564985,35,41.24443302889484,40.09069172306075,0
23,1,121.12739145680946,31,39.378259982277726,19.913723122460567,1
23,2,184.64773880134032,41,52.152132370771525,39.21150203141517,0
24,0,63.10681297698804,19,7.4687914689814345,20.536453392189987,0
24,1,55.66673314926727,12,11.851610852352247,17.898070472027175,1
24,2,197.2200673302983,56,80.80270577902277,49.41923576951041,0
